Kuukausi,Hinta
1988-01-01,40.0
1988-02-01,40.0
1988-03-01,40.0
1988-04-01,39.7
1988-05-01,39.9
1988-06-01,39.9
1988-07-01,39.9
1988-08-01,39.9
1988-09-01,39.9
1988-10-01,39.9
1988-11-01,39.9
1988-12-01,39.9
1989-01-01,41.4
1989-02-01,41.5
1989-03-01,43.9
1989-04-01,44.9
1989-05-01,43.9
1989-06-01,43.2
1989-07-01,43.4
1989-08-01,43.2
1989-09-01,44.7
1989-10-01,45.9
1989-11-01,47.3
1989-12-01,49.1
1990-01-01,52.3
1990-02-01,51.3
1990-03-01,50.1
1990-04-01,47.8
1990-05-01,46.9
1990-06-01,46.8
1990-07-01,46.9
1990-08-01,52.3
1990-09-01,56.7
1990-10-01,57.9
1990-11-01,57.0
1990-12-01,55.5
1991-01-01,56.3
1991-02-01,54.0
1991-03-01,51.0
1991-04-01,49.5
1991-05-01,50.0
1991-06-01,50.1
1991-07-01,51.1
1991-08-01,51.5
1991-09-01,51.6
1991-10-01,54.0
1991-11-01,55.0
1991-12-01,53.0
1992-01-01,52.1
1992-02-01,51.6
1992-03-01,50.1
1992-04-01,49.8
1992-05-01,50.3
1992-06-01,49.5
1992-07-01,48.3
1992-08-01,47.3
1992-09-01,50.1
1992-10-01,51.8
1992-11-01,51.6
1992-12-01,51.3
1993-01-01,53.5
1993-02-01,54.3
1993-03-01,54.5
1993-04-01,54.2
1993-05-01,53.3
1993-06-01,51.8
1993-07-01,51.8
1993-08-01,51.1
1993-09-01,50.5
1993-10-01,52.1
1993-11-01,52.6
1993-12-01,52.1
1994-01-01,52.3
1994-02-01,51.6
1994-03-01,52.1
1994-04-01,51.8
1994-05-01,50.8
1994-06-01,61.1
1994-07-01,60.9
1994-08-01,60.9
1994-09-01,60.4
1994-10-01,60.0
1994-11-01,60.2
1994-12-01,59.9
1995-01-01,62.9
1995-02-01,62.1
1995-03-01,61.2
1995-04-01,59.5
1995-05-01,58.4
1995-06-01,58.2
1995-07-01,58.0
1995-08-01,57.4
1995-09-01,58.2
1995-10-01,57.7
1995-11-01,58.7
1995-12-01,60.0
1996-01-01,60.6
1996-02-01,61.6
1996-03-01,62.2
1996-04-01,63.1
1996-05-01,62.7
1996-06-01,62.4
1996-07-01,62.9
1996-08-01,62.2
1996-09-01,63.1
1996-10-01,65.8
1996-11-01,65.6
1996-12-01,66.6
1997-01-01,65.8
1997-02-01,64.8
1997-03-01,64.3
1997-04-01,63.4
1997-05-01,62.2
1997-06-01,62.1
1997-07-01,62.2
1997-08-01,64.6
1997-09-01,64.1
1997-10-01,64.1
1997-11-01,64.6
1997-12-01,64.9
1998-01-01,66.9
1998-02-01,65.1
1998-03-01,65.9
1998-04-01,64.9
1998-05-01,63.1
1998-06-01,63.1
1998-07-01,62.9
1998-08-01,62.9
1998-09-01,62.9
1998-10-01,62.4
1998-11-01,63.1
1998-12-01,62.9
1999-01-01,62.6
1999-02-01,63.4
1999-03-01,63.1
1999-04-01,65.3
1999-05-01,65.9
1999-06-01,65.3
1999-07-01,68.5
1999-08-01,71.1
1999-09-01,70.8
1999-10-01,70.1
1999-11-01,73.2
1999-12-01,78.9
2000-01-01,81.7
2000-02-01,81.1
2000-03-01,83.1
2000-04-01,80.7
2000-05-01,80.9
2000-06-01,82.7
2000-07-01,81.4
2000-08-01,82.7
2000-09-01,91.7
2000-10-01,91.8
2000-11-01,92.7
2000-12-01,89.8
2001-01-01,83.4
2001-02-01,82.7
2001-03-01,82.2
2001-04-01,82.1
2001-05-01,83.1
2001-06-01,82.4
2001-07-01,82.7
2001-08-01,82.2
2001-09-01,82.4
2001-10-01,81.4
2001-11-01,79.9
2001-12-01,77.7
2002-01-01,79.1
2002-02-01,77.9
2002-03-01,77.9
2002-04-01,78.9
2002-05-01,78.4
2002-06-01,77.3
2002-07-01,77.1
2002-08-01,77.1
2002-09-01,79.6
2002-10-01,79.4
2002-11-01,78.6
2002-12-01,79.2
2003-01-01,84.2
2003-02-01,87.1
2003-03-01,95.0
2003-04-01,84.5
2003-05-01,76.6
2003-06-01,75.5
2003-07-01,78.7
2003-08-01,77.7
2003-09-01,78.0
2003-10-01,76.3
2003-11-01,78.6
2003-12-01,77.6
2004-01-01,78.9
2004-02-01,77.2
2004-03-01,79.9
2004-04-01,81.3
2004-05-01,84.9
2004-06-01,79.8
2004-07-01,83.1
2004-08-01,85.9
2004-09-01,88.0
2004-10-01,94.9
2004-11-01,92.6
2004-12-01,91.1
2005-01-01,87.8
2005-02-01,88.2
2005-03-01,93.4
2005-04-01,97.2
2005-05-01,93.1
2005-06-01,97.0
2005-07-01,98.4
2005-08-01,98.8
2005-09-01,104.4
2005-10-01,103.7
2005-11-01,99.7
2005-12-01,100.9
2006-01-01,99.6
2006-02-01,101.9
2006-03-01,101.8
2006-04-01,102.6
2006-05-01,105.1
2006-06-01,103.1
2006-07-01,104.4
2006-08-01,105.8
2006-09-01,101.6
2006-10-01,99.3
2006-11-01,101.6
2006-12-01,100.1
2007-01-01,95.8
2007-02-01,97.7
2007-03-01,98.8
2007-04-01,98.7
2007-05-01,97.7
2007-06-01,99.6
2007-07-01,101.1
2007-08-01,100.7
2007-09-01,101.7
2007-10-01,102.1
2007-11-01,115.0
2007-12-01,113.1
2008-01-01,121.8
2008-02-01,120.1
2008-03-01,125.7
2008-04-01,125.6
2008-05-01,135.1
2008-06-01,143.9
2008-07-01,144.2
2008-08-01,136.4
2008-09-01,133.1
2008-10-01,120.9
2008-11-01,109.1
2008-12-01,101.1
2009-01-01,98.2
2009-02-01,97.0
2009-03-01,93.1
2009-04-01,94.9
2009-05-01,98.0
2009-06-01,101.5
2009-07-01,99.6
2009-08-01,102.1
2009-09-01,99.8
2009-10-01,99.2
2009-11-01,103.7
2009-12-01,102.8
2010-01-01,108.0
2010-02-01,106.0
2010-03-01,111.6
2010-04-01,114.4
2010-05-01,115.9
2010-06-01,116.2
2010-07-01,115.2
2010-08-01,114.4
2010-09-01,115.5
2010-10-01,114.0
2010-11-01,117.4
2010-12-01,126.8
2011-01-01,131.0
2011-02-01,131.9
2011-03-01,138.1
2011-04-01,137.4
2011-05-01,137.8
2011-06-01,137.7
2011-07-01,137.5
2011-08-01,136.6
2011-09-01,137.3
2011-10-01,136.7
2011-11-01,140.0
2011-12-01,139.8
2012-01-01,155.7
2012-02-01,157.0
2012-03-01,158.0
2012-04-01,155.7
2012-05-01,153.5
2012-06-01,149.5
2012-07-01,150.3
2012-08-01,153.7
2012-09-01,156.8
2012-10-01,156.9
2012-11-01,154.0
2012-12-01,152.2
2013-01-01,153.0
2013-02-01,154.7
2013-03-01,155.7
2013-04-01,154.0
2013-05-01,148.0
2013-06-01,147.5
2013-07-01,148.4
2013-08-01,148.3
2013-09-01,150.1
2013-10-01,150.8
2013-11-01,148.2
2013-12-01,149.5
2014-01-01,153.3
2014-02-01,151.8
2014-03-01,150.6
2014-04-01,152.3
2014-05-01,150.7
2014-06-01,148.1
2014-07-01,149.0
2014-08-01,148.1
2014-09-01,145.7
2014-10-01,143.3
2014-11-01,142.9
2014-12-01,135.1
2015-01-01,127.9
2015-02-01,128.5
2015-03-01,135.1
2015-04-01,135.3
2015-05-01,134.1
2015-06-01,135.6
2015-07-01,135.4
2015-08-01,129.5
2015-09-01,123.2
2015-10-01,123.6
2015-11-01,124.5
2015-12-01,120.6
2016-01-01,115.9
2016-02-01,110.7
2016-03-01,113.6
2016-04-01,113.1
2016-05-01,116.3
2016-06-01,122.1
2016-07-01,118.0
2016-08-01,113.6
2016-09-01,119.0
2016-10-01,124.0
2016-11-01,125.7
2016-12-01,132.4
2017-01-01,136.1
2017-02-01,136.5
2017-03-01,132.1
2017-04-01,128.5
2017-05-01,125.1
2017-06-01,125.2
2017-07-01,124.4
2017-08-01,125.0
2017-09-01,126.6
2017-10-01,127.1
2017-11-01,134.8
2017-12-01,130.5
2018-01-01,135.1
2018-02-01,132.6
2018-03-01,131.8
2018-04-01,130.8
2018-05-01,134.6
2018-06-01,139.7
2018-07-01,135.6
2018-08-01,139.6
2018-09-01,140.3
2018-10-01,144.5
2018-11-01,154.6
2018-12-01,147.0
2019-01-01,139.0
2019-02-01,140.0
2019-03-01,144.0
2019-04-01,142.0
2019-05-01,142.0
2019-06-01,140.0
2019-07-01,138.0
2019-08-01,136.0
2019-09-01,140.0
2019-10-01,142.0
2019-11-01,142.0
2019-12-01,143.0
2020-01-01,146.0
2020-02-01,139.0
2020-03-01,130.0
2020-04-01,123.0
2020-05-01,116.0
2020-06-01,118.0
2020-07-01,122.0
2020-08-01,128.0
2020-09-01,125.0
2020-10-01,124.0
2020-11-01,124.0
2020-12-01,130.0
2021-01-01,138.0
2021-02-01,144.0
2021-03-01,150.0
2021-04-01,150.0
2021-05-01,150.0
2021-06-01,149.0
2021-07-01,152.0
2021-08-01,153.0
2021-09-01,152.0
2021-10-01,163.0
2021-11-01,170.0
2021-12-01,167.0
2022-01-01,178.0
2022-02-01,187.0
2022-03-01,233.0
2022-04-01,222.0
2022-05-01,227.0
2022-06-01,244.0
2022-07-01,227.0
2022-08-01,209.0
2022-09-01,216.0
2022-10-01,217.0
2022-11-01,228.0
2022-12-01,198.0
2023-01-01,208.0
2023-02-01,207.0
2023-03-01,202.0
2023-04-01,196.0
2023-05-01,186.0
2023-06-01,185.0
2023-07-01,185.0
2023-08-01,194.0
2023-09-01,205.0
2023-10-01,206.0
2023-11-01,203.0
2023-12-01,197.0
2024-01-01,183.0
2024-02-01,191.0
2024-03-01,194.0
2024-04-01,187.0
2024-05-01,178.0
2024-06-01,175.0
2024-07-01,177.0
2024-08-01,175.0
2024-09-01,171.0
2024-10-01,170.0
2024-11-01,172.0
2024-12-01,177.0
2025-01-01,180.0
2025-02-01,179.0
2025-03-01,179.0
